0, ISS/BHXG.tif: 64.9609 (8213ms)
1, ISS/CIZA.tif: 61.8834 (3063ms)
2, ISS/LTBP.tif: 66 (3017ms)
3, ISS/QKNK.tif: 66 (2935ms)
4, ISS/UGKE.tif: 62 (2994ms)
5, Lab/AHJH.tif: 66 (3181ms)
6, Lab/AJBB.tif: 66 (3383ms)
7, Lab/BJQW.tif: 66 (3404ms)
8, Lab/BQJW.tif: 66 (22108ms)
9, Lab/BRYB.tif: 66 (2995ms)
10, Lab/DRII.tif: 66 (26797ms)
11, Lab/EDZR.tif: 66 (3364ms)
12, Lab/FBQH.tif: 58.2932 (3659ms)
13, Lab/FQHT.tif: 66 (3958ms)
14, Lab/FVSX.tif: 66 (3413ms)
15, Lab/FVVS.tif: 66 (28192ms)
16, Lab/GHDF.tif: 66 (3334ms)
17, Lab/HFBC.tif: 66 (3295ms)
18, Lab/HSCA.tif: 65.2792 (3627ms)
19, Lab/HVCP.tif: 66 (3404ms)
20, Lab/HXKW.tif: 66 (3629ms)
21, Lab/LIJZ.tif: 62.9148 (3608ms)
22, Lab/MCHO.tif: 66 (3644ms)
23, Lab/MQMY.tif: 66 (3965ms)
24, Lab/OSBD.tif: 66 (3486ms)
25, Lab/OWNI.tif: 66 (3645ms)
26, Lab/PHPH.tif: 66 (3476ms)
27, Lab/PMSA.tif: 66 (4256ms)
/!\ 28, Lab/QUEG.tif: 44 (18425ms)
29, Lab/QVCY.tif: 66 (5212ms)
30, Lab/RAHQ.tif: 66 (4071ms)
31, Lab/SMKM.tif: 66 (3321ms)
32, Lab/SYDY.tif: 66 (3541ms)
33, Lab/SYKR.tif: 65.0361 (3871ms)
34, Lab/TPMO.tif: 64 (3627ms)
35, Lab/WLHI.tif: 66 (3543ms)
36, Lab/WZOK.tif: 66 (3746ms)
37, Lab/XIIV.tif: 65.9802 (3960ms)
38, Lab/YAAW.tif: 66 (3719ms)
39, Lab/YZKH.tif: 66 (21226ms)
40, Lab/ZDSG.tif: 66 (3455ms)
41, Lab/ZEGF.tif: 66 (3722ms)
42, Lab/ZTQB.tif: 66 (3390ms)
43, Lab/ZUHN.tif: 66 (4085ms)
