0, ISS/BHXG.tif: 63.9609 (8324ms)
1, ISS/CIZA.tif: 61.8834 (3311ms)
2, ISS/LTBP.tif: 63 (3338ms)
3, ISS/QKNK.tif: 66 (3237ms)
4, ISS/UGKE.tif: 62 (3247ms)
5, Lab/AHJH.tif: 65 (3071ms)
6, Lab/AJBB.tif: 63 (3355ms)
7, Lab/BJQW.tif: 66 (3781ms)
8, Lab/BQJW.tif: 66 (22058ms)
9, Lab/BRYB.tif: 65 (3358ms)
10, Lab/DRII.tif: 64 (26577ms)
11, Lab/EDZR.tif: 66 (3417ms)
/!\ 12, Lab/FBQH.tif: 57.2932 (3774ms)
13, Lab/FQHT.tif: 66 (3919ms)
14, Lab/FVSX.tif: 65 (3417ms)
15, Lab/FVVS.tif: 64 (27935ms)
16, Lab/GHDF.tif: 64 (3277ms)
17, Lab/HFBC.tif: 64 (3235ms)
18, Lab/HSCA.tif: 65.3097 (3520ms)
19, Lab/HVCP.tif: 64 (3317ms)
20, Lab/HXKW.tif: 64 (3544ms)
21, Lab/LIJZ.tif: 62.9148 (3485ms)
22, Lab/MCHO.tif: 66 (3564ms)
23, Lab/MQMY.tif: 64 (3906ms)
24, Lab/OSBD.tif: 65 (3476ms)
25, Lab/OWNI.tif: 66 (3523ms)
26, Lab/PHPH.tif: 66 (3363ms)
27, Lab/PMSA.tif: 63 (4114ms)
/!\ 28, Lab/QUEG.tif: 43 (18148ms)
29, Lab/QVCY.tif: 64 (5104ms)
30, Lab/RAHQ.tif: 62 (3934ms)
31, Lab/SMKM.tif: 66 (3207ms)
32, Lab/SYDY.tif: 65 (3415ms)
33, Lab/SYKR.tif: 62.0362 (3691ms)
34, Lab/TPMO.tif: 64 (3564ms)
35, Lab/WLHI.tif: 64 (3448ms)
36, Lab/WZOK.tif: 66 (3664ms)
37, Lab/XIIV.tif: 62.9802 (3910ms)
38, Lab/YAAW.tif: 65 (3704ms)
39, Lab/YZKH.tif: 64 (20861ms)
40, Lab/ZDSG.tif: 66 (3376ms)
