0, ISS/BHXG.tif: 62.9609 (9119ms)
1, ISS/CIZA.tif: 61.8834 (2958ms)
2, ISS/LTBP.tif: 64 (2877ms)
3, ISS/QKNK.tif: 64 (2802ms)
4, ISS/UGKE.tif: 62 (3554ms)
5, Lab/AHJH.tif: 64 (3462ms)
6, Lab/AJBB.tif: 64 (3714ms)
7, Lab/BJQW.tif: 64 (3723ms)
8, Lab/BQJW.tif: 64 (22518ms)
9, Lab/BRYB.tif: 64 (3317ms)
10, Lab/DRII.tif: 64 (26847ms)
11, Lab/EDZR.tif: 64 (3342ms)
/!\ 12, Lab/FBQH.tif: 56.2932 (3657ms)
13, Lab/FQHT.tif: 64 (3915ms)
14, Lab/FVSX.tif: 64 (3402ms)
15, Lab/FVVS.tif: 64 (28523ms)
16, Lab/GHDF.tif: 64 (3304ms)
17, Lab/HFBC.tif: 64 (3210ms)
18, Lab/HSCA.tif: 63.3097 (3587ms)
19, Lab/HVCP.tif: 64 (3322ms)
20, Lab/HXKW.tif: 64 (3529ms)
21, Lab/LIJZ.tif: 62.9148 (3491ms)
22, Lab/MCHO.tif: 64 (3560ms)
23, Lab/MQMY.tif: 64 (3982ms)
24, Lab/OSBD.tif: 64 (3482ms)
25, Lab/OWNI.tif: 64 (3566ms)
26, Lab/PHPH.tif: 64 (3473ms)
27, Lab/PMSA.tif: 64 (4267ms)
/!\ 28, Lab/QUEG.tif: 44 (18774ms)
29, Lab/QVCY.tif: 64 (5137ms)
30, Lab/RAHQ.tif: 64 (3942ms)
31, Lab/SMKM.tif: 64 (3247ms)
32, Lab/SYDY.tif: 64 (3529ms)
33, Lab/SYKR.tif: 63.0362 (3758ms)
34, Lab/TPMO.tif: 64 (3558ms)
35, Lab/WLHI.tif: 64 (3452ms)
36, Lab/WZOK.tif: 64 (3643ms)
37, Lab/XIIV.tif: 63.9802 (3916ms)
38, Lab/YAAW.tif: 64 (3724ms)
39, Lab/YZKH.tif: 64 (21170ms)
