75, Lab2/VXVC.tif: 65.9471 (3103ms)
76, Lab2/WGHL.tif: 65.9221 (3090ms)
77, Lab2/XDOC.tif: 66 (3883ms)
78, Lab2/ZMXP.tif: 65.9924 (3414ms)
79, Lab3/AIFS.tif: 64 (4583ms)
80, Lab3/AWZM.tif: 64.0329 (3074ms)
/!\ 81, Lab3/CFJD.tif: 54.4192 (3019ms)
/!\ 82, Lab3/CVIV.tif: 50.3196 (6548ms)
83, Lab3/DLZC.tif: 63.957 (3423ms)
/!\ 84, Lab3/EOXV.tif: 54.8974 (2632ms)
85, Lab3/ESNW.tif: 65 (2824ms)
86, Lab3/FKWN.tif: 63.0574 (2714ms)
