0, ISS/BHXG.tif: 60.7787 (8447ms)
1, ISS/CIZA.tif: 59.8458 (3411ms)
2, ISS/LTBP.tif: 62 (3238ms)
3, ISS/QKNK.tif: 62 (3191ms)
4, ISS/UGKE.tif: 60 (3291ms)
5, Lab/AHJH.tif: 62 (3530ms)
6, Lab/AJBB.tif: 62.0833 (3730ms)
7, Lab/BJQW.tif: 62.0833 (3827ms)
8, Lab/BQJW.tif: 62 (22328ms)
9, Lab/BRYB.tif: 62.0467 (3922ms)
10, Lab/DRII.tif: 62 (27323ms)
11, Lab/EDZR.tif: 62.1133 (3371ms)
/!\ 12, Lab/FBQH.tif: 54.0337 (3879ms)
13, Lab/FQHT.tif: 62.0467 (3884ms)
14, Lab/FVSX.tif: 62 (3464ms)
15, Lab/FVVS.tif: 62 (28205ms)
16, Lab/GHDF.tif: 62 (3350ms)
17, Lab/HFBC.tif: 62.0833 (3211ms)
18, Lab/HSCA.tif: 61.434 (3493ms)
19, Lab/HVCP.tif: 62.0033 (3309ms)
20, Lab/HXKW.tif: 62 (3510ms)
21, Lab/LIJZ.tif: 60.8824 (3465ms)
22, Lab/MCHO.tif: 62 (3539ms)
23, Lab/MQMY.tif: 62 (3985ms)
24, Lab/OSBD.tif: 62 (3437ms)
25, Lab/OWNI.tif: 62 (3564ms)
26, Lab/PHPH.tif: 62 (3913ms)
27, Lab/PMSA.tif: 62.0317 (4118ms)
/!\ 28, Lab/QUEG.tif: 43 (18310ms)
29, Lab/QVCY.tif: 62.0317 (5166ms)
30, Lab/RAHQ.tif: 62 (3962ms)
31, Lab/SMKM.tif: 62.1133 (3207ms)
32, Lab/SYDY.tif: 62 (3389ms)
33, Lab/SYKR.tif: 61.1522 (3738ms)
34, Lab/TPMO.tif: 62 (3677ms)
35, Lab/WLHI.tif: 62 (3460ms)
36, Lab/WZOK.tif: 62.4311 (3613ms)
37, Lab/XIIV.tif: 61.9437 (3870ms)
38, Lab/YAAW.tif: 62 (3685ms)
39, Lab/YZKH.tif: 62.0833 (20765ms)
40, Lab/ZDSG.tif: 62.1649 (3480ms)
41, Lab/ZEGF.tif: 62 (3614ms)
42, Lab/ZTQB.tif: 62 (3367ms)
43, Lab/ZUHN.tif: 62.0317 (3968ms)
44, Lab/ZUXC.tif: 62 (3622ms)
