75, Lab2/VXVC.tif: 65.9471 (3335ms)
76, Lab2/WGHL.tif: 65.9221 (2765ms)
77, Lab2/XDOC.tif: 66 (3178ms)
78, Lab2/ZMXP.tif: 65.9924 (2831ms)
79, Lab3/AIFS.tif: 64 (2922ms)
80, Lab3/AWZM.tif: 64.0329 (2958ms)
/!\ 81, Lab3/CFJD.tif: 54.4192 (2808ms)
/!\ 82, Lab3/CVIV.tif: 50.3196 (6321ms)
83, Lab3/DLZC.tif: 63.957 (2700ms)
/!\ 84, Lab3/EOXV.tif: 54.8974 (2586ms)
85, Lab3/ESNW.tif: 65 (2812ms)
86, Lab3/FKWN.tif: 63.0574 (2715ms)
