75, Lab2/VXVC.tif: 65.9471 (3538ms)
76, Lab2/WGHL.tif: 65.9221 (2767ms)
77, Lab2/XDOC.tif: 66 (3120ms)
78, Lab2/ZMXP.tif: 65.9924 (2781ms)
79, Lab3/AIFS.tif: 64 (2867ms)
80, Lab3/AWZM.tif: 64.0329 (2941ms)
/!\ 81, Lab3/CFJD.tif: 54.4192 (2787ms)
/!\ 82, Lab3/CVIV.tif: 50.3196 (6310ms)
83, Lab3/DLZC.tif: 63.957 (2661ms)
/!\ 84, Lab3/EOXV.tif: 54.8974 (2465ms)
85, Lab3/ESNW.tif: 65 (2668ms)
86, Lab3/FKWN.tif: 63.0574 (2567ms)
