0, ISS/BHXG.tif: 65.4437 (6849ms)
1, ISS/CIZA.tif: 62 (3321ms)
2, ISS/LTBP.tif: 66 (3703ms)
3, ISS/QKNK.tif: 66 (3529ms)
4, ISS/UGKE.tif: 63 (3521ms)
5, Lab/AHJH.tif: 66 (4173ms)
6, Lab/AJBB.tif: 66 (3536ms)
7, Lab/BJQW.tif: 66 (3609ms)
8, Lab/BQJW.tif: 66 (3400ms)
9, Lab/BRYB.tif: 66 (3637ms)
10, Lab/DRII.tif: 66 (3496ms)
11, Lab/EDZR.tif: 66 (3853ms)
12, Lab/FBQH.tif: 66 (4007ms)
13, Lab/FQHT.tif: 66 (3529ms)
14, Lab/FVSX.tif: 64 (3675ms)
15, Lab/FVVS.tif: 66 (3490ms)
16, Lab/GHDF.tif: 66 (3919ms)
17, Lab/HFBC.tif: 66 (3634ms)
18, Lab/HSCA.tif: 66 (3477ms)
19, Lab/HVCP.tif: 66 (3527ms)
20, Lab/HXKW.tif: 66 (4276ms)
21, Lab/LIJZ.tif: 66 (3567ms)
22, Lab/MCHO.tif: 66 (4341ms)
23, Lab/MQMY.tif: 66 (3621ms)
24, Lab/OSBD.tif: 66 (3535ms)
25, Lab/OWNI.tif: 66 (4149ms)
26, Lab/PHPH.tif: 66 (3580ms)
27, Lab/PMSA.tif: 66 (19046ms)
28, Lab/QUEG.tif: 65.9939 (3520ms)
29, Lab/QVCY.tif: 66 (3524ms)
30, Lab/RAHQ.tif: 66 (3469ms)
31, Lab/SMKM.tif: 66 (3441ms)
32, Lab/SYDY.tif: 66 (3522ms)
33, Lab/SYKR.tif: 66 (3519ms)
34, Lab/TPMO.tif: 64 (3864ms)
35, Lab/WLHI.tif: 66 (4398ms)
36, Lab/WZOK.tif: 66 (3464ms)
37, Lab/XIIV.tif: 66 (3501ms)
38, Lab/YAAW.tif: 66 (4348ms)
39, Lab/YZKH.tif: 66 (3562ms)
40, Lab/ZDSG.tif: 66 (3612ms)
41, Lab/ZEGF.tif: 66 (4211ms)
42, Lab/ZTQB.tif: 66 (4300ms)
43, Lab/ZUHN.tif: 66 (3497ms)
44, Lab/ZUXC.tif: 66 (4017ms)
45, Lab2/ALJD.tif: 66 (2838ms)
46, Lab2/AMHF.tif: 66 (2519ms)
47, Lab2/BFKF.tif: 65.9995 (2695ms)
48, Lab2/CFPH.tif: 66 (2660ms)
49, Lab2/CORT.tif: 66 (2868ms)
50, Lab2/CVKF.tif: 66 (2846ms)
51, Lab2/DKVW.tif: 66 (2529ms)
52, Lab2/DORQ.tif: 65.9271 (2899ms)
53, Lab2/GAEY.tif: 63 (2761ms)
54, Lab2/GXRT.tif: 66 (2680ms)
55, Lab2/GXZN.tif: 66 (2796ms)
56, Lab2/JBYK.tif: 66 (2785ms)
57, Lab2/MBUJ.tif: 65 (2900ms)
58, Lab2/MDSJ.tif: 66 (2750ms)
59, Lab2/MPUI.tif: 63.885 (3243ms)
60, Lab2/NZTD.tif: 66 (2830ms)
61, Lab2/PBHG.tif: 66 (2753ms)
62, Lab2/PDMR.tif: 66 (2830ms)
63, Lab2/PMGZ.tif: 66 (2626ms)
64, Lab2/PNSL.tif: 66 (2739ms)
65, Lab2/QVZT.tif: 66 (2632ms)
66, Lab2/RAPC.tif: 66 (2894ms)
67, Lab2/RFAY.tif: 63 (2661ms)
68, Lab2/RXNQ.tif: 65.9908 (2652ms)
69, Lab2/TOGU.tif: 66 (2878ms)
70, Lab2/UHRN.tif: 65.9927 (2618ms)
71, Lab2/UZAV.tif: 65.9624 (2839ms)
72, Lab2/VGMR.tif: 66 (2861ms)
73, Lab2/VLES.tif: 66 (2625ms)
74, Lab2/VQBG.tif: 65.7642 (2748ms)
75, Lab2/VXVC.tif: 65.9471 (2749ms)
76, Lab2/WGHL.tif: 65.9221 (2658ms)
77, Lab2/XDOC.tif: 66 (2952ms)
78, Lab2/ZMXP.tif: 65.9924 (2651ms)
79, Lab3/AIFS.tif: 64 (2791ms)
80, Lab3/AWZM.tif: 64.0329 (2799ms)
/!\ 81, Lab3/CFJD.tif: 54.4192 (8742ms)
/!\ 82, Lab3/CVIV.tif: 50.3196 (5674ms)
83, Lab3/DLZC.tif: 63.957 (2590ms)
/!\ 84, Lab3/EOXV.tif: 54.8974 (2477ms)
85, Lab3/ESNW.tif: 65 (2694ms)
86, Lab3/FKWN.tif: 63.0574 (2596ms)
87, Lab3/FSUD.tif: 62.8108 (2820ms)
/!\ 88, Lab3/GCNZ.tif: 51.1012 (2851ms)
89, Lab3/HTOG.tif: 64.7154 (3275ms)
90, Lab3/JLJQ.tif: 64.7618 (3499ms)
91, Lab3/JMOA.tif: 65.1866 (2779ms)
