0, ISS/BHXG.tif: 64.9609 (9145ms)
1, ISS/CIZA.tif: 59.8834 (3333ms)
2, ISS/LTBP.tif: 63 (3248ms)
3, ISS/QKNK.tif: 66 (3256ms)
4, ISS/UGKE.tif: 62 (3297ms)
5, Lab/AHJH.tif: 66 (3502ms)
6, Lab/AJBB.tif: 65 (3733ms)
7, Lab/BJQW.tif: 66 (3841ms)
8, Lab/BQJW.tif: 66 (22458ms)
9, Lab/BRYB.tif: 66 (3375ms)
10, Lab/DRII.tif: 66 (27520ms)
11, Lab/EDZR.tif: 65 (3342ms)
12, Lab/FBQH.tif: 58.2932 (3654ms)
13, Lab/FQHT.tif: 66 (3861ms)
14, Lab/FVSX.tif: 65 (3394ms)
15, Lab/FVVS.tif: 64 (28379ms)
16, Lab/GHDF.tif: 66 (3308ms)
17, Lab/HFBC.tif: 64 (3225ms)
18, Lab/HSCA.tif: 65.3097 (3510ms)
19, Lab/HVCP.tif: 66 (3369ms)
20, Lab/HXKW.tif: 66 (3572ms)
21, Lab/LIJZ.tif: 62.9148 (3574ms)
22, Lab/MCHO.tif: 66 (3555ms)
23, Lab/MQMY.tif: 66 (3926ms)
24, Lab/OSBD.tif: 66 (3418ms)
25, Lab/OWNI.tif: 65 (3554ms)
26, Lab/PHPH.tif: 66 (3392ms)
27, Lab/PMSA.tif: 64 (4200ms)
/!\ 28, Lab/QUEG.tif: 44 (18405ms)
29, Lab/QVCY.tif: 66 (5172ms)
30, Lab/RAHQ.tif: 66 (3956ms)
31, Lab/SMKM.tif: 66 (3240ms)
32, Lab/SYDY.tif: 65 (3436ms)
33, Lab/SYKR.tif: 64.0361 (3724ms)
34, Lab/TPMO.tif: 65 (3565ms)
35, Lab/WLHI.tif: 65 (3439ms)
36, Lab/WZOK.tif: 66 (3655ms)
37, Lab/XIIV.tif: 61.9802 (3937ms)
38, Lab/YAAW.tif: 66 (3754ms)
39, Lab/YZKH.tif: 63 (21392ms)
40, Lab/ZDSG.tif: 66 (3582ms)
41, Lab/ZEGF.tif: 66 (3613ms)
42, Lab/ZTQB.tif: 66 (3497ms)
43, Lab/ZUHN.tif: 66 (4043ms)
44, Lab/ZUXC.tif: 62 (3681ms)
45, Lab2/ALJD.tif: 63 (2520ms)
46, Lab2/AMHF.tif: 65.8211 (5812ms)
47, Lab2/BFKF.tif: 65.9991 (2427ms)
48, Lab2/CFPH.tif: 65 (2454ms)
49, Lab2/CORT.tif: 62 (2486ms)
50, Lab2/CVKF.tif: 66 (2451ms)
51, Lab2/DKVW.tif: 66 (2643ms)
52, Lab2/DORQ.tif: 66 (3118ms)
53, Lab2/GAEY.tif: 63 (2463ms)
54, Lab2/GXRT.tif: 63 (2757ms)
55, Lab2/GXZN.tif: 66 (2509ms)
56, Lab2/JBYK.tif: 65.9826 (2646ms)
/!\ 57, Lab2/MBUJ.tif: 53 (4716ms)
58, Lab2/MDSJ.tif: 66 (2424ms)
/!\ 59, Lab2/MPUI.tif: 46 (16384ms)
60, Lab2/NZTD.tif: 65.9982 (2414ms)
61, Lab2/PBHG.tif: 65.9977 (2404ms)
62, Lab2/PDMR.tif: 65 (2699ms)
63, Lab2/PMGZ.tif: 63 (2420ms)
64, Lab2/PNSL.tif: 66 (2423ms)
65, Lab2/QVZT.tif: 61.6462 (2481ms)
66, Lab2/RAPC.tif: 65.9954 (2368ms)
67, Lab2/RFAY.tif: 62 (2640ms)
68, Lab2/RXNQ.tif: 65.9971 (2369ms)
69, Lab2/TOGU.tif: 65 (2599ms)
70, Lab2/UHRN.tif: 65 (2407ms)
71, Lab2/UZAV.tif: 65 (2414ms)
72, Lab2/VGMR.tif: 65.9826 (2436ms)
73, Lab2/VLES.tif: 65.9677 (2431ms)
74, Lab2/VQBG.tif: 65 (2861ms)
/!\ 75, Lab2/VXVC.tif: 56.5863 (2424ms)
76, Lab2/WGHL.tif: 62 (2484ms)
77, Lab2/XDOC.tif: 66 (3455ms)
78, Lab2/ZMXP.tif: 64.9969 (2787ms)
79, Lab3/AIFS.tif: 62.9903 (2961ms)
80, Lab3/AWZM.tif: 64.7717 (2459ms)
81, Lab3/CFJD.tif: 64.6649 (4398ms)
/!\ 82, Lab3/CVIV.tif: 42 (24266ms)
