0, ISS/BHXG.tif: 63.9724 (4826ms)
1, ISS/CIZA.tif: 61.914 (3211ms)
2, ISS/LTBP.tif: 66 (3223ms)
3, ISS/QKNK.tif: 66 (3180ms)
4, ISS/UGKE.tif: 62 (3421ms)
5, Lab/AHJH.tif: 66 (3398ms)
6, Lab/AJBB.tif: 66 (3805ms)
7, Lab/BJQW.tif: 66 (3388ms)
8, Lab/BQJW.tif: 66 (3805ms)
9, Lab/BRYB.tif: 66 (3367ms)
10, Lab/DRII.tif: 66 (5074ms)
11, Lab/EDZR.tif: 66 (3386ms)
12, Lab/FBQH.tif: 66 (3476ms)
13, Lab/FQHT.tif: 66 (3977ms)
14, Lab/FVSX.tif: 66 (3476ms)
15, Lab/FVVS.tif: 66 (4949ms)
16, Lab/GHDF.tif: 66 (3510ms)
17, Lab/HFBC.tif: 66 (3363ms)
18, Lab/HSCA.tif: 65.2792 (3606ms)
19, Lab/HVCP.tif: 66 (3474ms)
20, Lab/HXKW.tif: 66 (3401ms)
21, Lab/LIJZ.tif: 62.9148 (3363ms)
22, Lab/MCHO.tif: 66 (3775ms)
23, Lab/MQMY.tif: 66 (3972ms)
24, Lab/OSBD.tif: 66 (3641ms)
25, Lab/OWNI.tif: 66 (3504ms)
26, Lab/PHPH.tif: 66 (3611ms)
27, Lab/PMSA.tif: 66 (3386ms)
/!\ 28, Lab/QUEG.tif: 44 (13641ms)
29, Lab/QVCY.tif: 66 (4356ms)
30, Lab/RAHQ.tif: 66 (3707ms)
31, Lab/SMKM.tif: 66 (3877ms)
32, Lab/SYDY.tif: 66 (3669ms)
33, Lab/SYKR.tif: 65.0361 (3963ms)
34, Lab/TPMO.tif: 64.0436 (3761ms)
35, Lab/WLHI.tif: 66 (3926ms)
36, Lab/WZOK.tif: 66 (3735ms)
37, Lab/XIIV.tif: 65.9802 (4287ms)
38, Lab/YAAW.tif: 66 (5616ms)
39, Lab/YZKH.tif: 66 (17699ms)
40, Lab/ZDSG.tif: 66 (3365ms)
41, Lab/ZEGF.tif: 66 (3571ms)
42, Lab/ZTQB.tif: 66 (3397ms)
43, Lab/ZUHN.tif: 66 (3185ms)
44, Lab/ZUXC.tif: 66 (3262ms)
45, Lab2/ALJD.tif: 63 (2530ms)
46, Lab2/AMHF.tif: 66 (4713ms)
47, Lab2/BFKF.tif: 65.9314 (2558ms)
48, Lab2/CFPH.tif: 66 (2571ms)
49, Lab2/CORT.tif: 66 (2624ms)
50, Lab2/CVKF.tif: 66 (2620ms)
51, Lab2/DKVW.tif: 66 (2654ms)
52, Lab2/DORQ.tif: 65.94 (3789ms)
53, Lab2/GAEY.tif: 63 (2537ms)
54, Lab2/GXRT.tif: 63 (2654ms)
55, Lab2/GXZN.tif: 66 (2636ms)
56, Lab2/JBYK.tif: 65.9996 (2615ms)
/!\ 57, Lab2/MBUJ.tif: 50.792 (6907ms)
58, Lab2/MDSJ.tif: 66 (2517ms)
/!\ 59, Lab2/MPUI.tif: 48 (13086ms)
60, Lab2/NZTD.tif: 66 (2415ms)
61, Lab2/PBHG.tif: 66 (2458ms)
62, Lab2/PDMR.tif: 66 (2693ms)
63, Lab2/PMGZ.tif: 66 (2476ms)
64, Lab2/PNSL.tif: 66 (2440ms)
65, Lab2/QVZT.tif: 62.6462 (2779ms)
66, Lab2/RAPC.tif: 66 (2394ms)
67, Lab2/RFAY.tif: 63 (2579ms)
68, Lab2/RXNQ.tif: 65.9978 (2388ms)
69, Lab2/TOGU.tif: 66 (2436ms)
70, Lab2/UHRN.tif: 66 (2380ms)
71, Lab2/UZAV.tif: 65.9738 (2435ms)
72, Lab2/VGMR.tif: 65.9395 (2434ms)
73, Lab2/VLES.tif: 65.9982 (2429ms)
74, Lab2/VQBG.tif: 66 (2513ms)
75, Lab2/VXVC.tif: 63.3064 (2431ms)
76, Lab2/WGHL.tif: 65.9221 (2726ms)
/!\ 77, Lab2/XDOC.tif: 46.4666 (2736ms)
78, Lab2/ZMXP.tif: 65.9988 (2450ms)
79, Lab3/AIFS.tif: 63.9999 (2741ms)
80, Lab3/AWZM.tif: 64.1483 (2359ms)
81, Lab3/CFJD.tif: 60.5725 (3737ms)
/!\ 82, Lab3/CVIV.tif: 41 (6460ms)
83, Lab3/DLZC.tif: 62.5044 (2957ms)
/!\ 84, Lab3/EOXV.tif: 54.9989 (3364ms)
85, Lab3/ESNW.tif: 65 (2661ms)
86, Lab3/FKWN.tif: 63.1309 (3146ms)
87, Lab3/FSUD.tif: 62.7686 (2784ms)
